no,nama,harga,exp
1,Larutan Cap Kaki 3 Botol,8.000,11/28
2,Pocari Sweat Besar,12.000,10/26
3,Pocari Sweat Kecil,a8.000,11/26
4,Floridina,5.000,7/26
5,Nipis Madu,5.000,9/26
6,Mizone,6.000,
7,Teh Kotak Melati,5.000,12/26
8,Teh Kotak Blackcurrant,5.000,12/26
9,Teh Kotak Apel,5.000,12/26
10,Sari Kacang Hijau,8.000,10/26
11,Ultra Milk 250,8.000,10/26
12,Ultra Milk 200,7.000,10/26
13,Ultra Milk 125,5.000,10/26
14,Milku Cokelat,5.000,7/26
15,Milku Stroberi,5.000,7/26
16,Golda Coffee,5.000,8/26
17,ABC Kopi Susu,5.000,1/27
18,ABC Choco Malt,5.000,10/26
19,Larutan Cap Kaki 3 Kaleng,7.000,11/28
20,Sprite Kaleng,7.000,4/26
21,Kratingdaeng,7.000,5/27
22,You C 1000,10.000,5/26
23,Bear Brand,11.000,2/27
24,Buavita,9.000,2/27
25,Teh Pucuk,5.000,11/26
26,Aqua Sedang,5.000,
27,Aqua Besar,8.000,
28,Coca Cola Botol Kecil,5.000,9/26
29,Sprite Botol Kecil,5.000,9/26
30,Fanta Botol Kecil,5.000,11/26
31,CocoBit Splash Guava,8.000,1/27
32,CocoBit Splash Mango,8.000,10/26
33,CocoBit Splash Lychee,8.000,
34,CocoBit Splash Coco,8.000,
35,Good Day,8.000,11/26
36,Superstar,"2000/1, 5000/3",9/26
37,Better,"3000/1, 5000/2",12/26
38,Nextar,3.000,8/26
39,Fullo Ecer Chocolate,1.000,10/26
40,Fullo Pack Chocolate,20.000,10/26
41,Fullo Ecer Vanilla Milk,1.000,8/26
42,Fullo Pack Vanilla Milk,20.000,8/26
43,Beng Beng,3.000,8/26
44,Chocolatos Ecer,1.000,10/26
45,Chocolatos Pack,15.000,10/26
46,Chupa Chups Sour Belt,2.000,6/27
47,Beng Beng Maxx,5.000,6/26
48,Nextar Cheesecake Pie Stroberi,"3000/1, 5000/2",10/26
49,Time Break Nabati,4.000,10/26
50,Siip Cocopan,1.000,9/26
51,Siip Roasted Corn,1.000,10/26
52,Nabati Pasta Coklat,1.000,7/26
53,Ahh' Coklat,1.000,8/26
54,Ahh' Keju,1.000,9/26
55,Sosis So Nice,"2000/1, 5000/3",6/26
56,Tanggo,"2000/1, 5000/3",11/26
57,Biskuat,,10/26
58,Nabati Wafer Coklat,"3000/1, 5000/2",9/26
