No,nama,harga,exp
,2c Roti roti,5.000,4/26
,ABC Choco Malt,5.000,10/26
,ABC Kecap Manis,11.000,3/27
,ABC Kecap Manis 600ml,35.000,7/27
,ABC Kopi Susu,5.000,1/27
,ABC Moca,2.000,11/26
,ABC Saus Tomat,11.000,10/26
,ABC Special Grade Cocopandan,27.000,9/28
,ABC Squash Delight Anggur,17.000,1/27
,ABC Squash Delight Jeruk Florida,17.000,9/27
,ABC Squash Delight Nanas,17.000,9/26
,Adem Sari,3.000,4/27
,Ahh' Coklat,1.000,8/26
,Ahh' Keju,1.000,9/26
,Ajinomoto 100g,7.000,
,Akwafa,32.000,
,Aoka Bulat,5.000,4/26
,Aoka Kotak,5.000,4/26
,Aqua Besar,8.000,
,Aqua Sedang,5.000,
,Arnotts Brand Gubin,15.000,6/27
228,Arrow Brand (Gabin),15.000,06/27
,Baterai ABC AA / Pack,13.000,
,Baterai ABC Besar,20.000,
,Baterai ABC Sedang / Pack,12.000,
,Bayclin 100ml,6.000,7/28
,Baygon Mat,5.000,
,Bear Brand,11.000,2/27
,Beng Beng,3.000,8/26
,Beng Beng Maxx,5.000,6/26
,Better,"3000/1, 5000/2",12/26
,Better Fun Bites,10.000,12/26
,Big Babol,1000/2,
,Big Babol 25g,4.000,2/27
,Bihun Padamu,10.000,8/26
,Biskuat,4.000,10/26
,Buavita,9.000,2/27
233,Buku,6.000,
,Carnation Kaleng,19.000,7/26
,Charm Cooling Fresh 350mm Isi 12,30.000,
,Charm Extra Maxi Isi 8,8.000,
,Charm Safe Night 350mm Isi 12,23.000,
,charm safenight sachet ,3000,
,Chiki Balls Cheeky Chicken 16g,4.000,7/26
,Chiki Balls Cheeky Chicken 55g,10.000,7/26
,Chiki Balls Crafty Cheese 55g,10.000,7/26
,Chiki Balls Curious Choco 16g,4.000,7/26
,Chitato Ayam BBQ (Ijo) 65g,12.000,9/26
,Chitato Ayam Bumbu (Kuning) 65g,12.000,9/26
,Chitato Sapi Bumbu Bakar (Ungu) 35g,7.000,9/26
,Chitato Sapi Bumbu Bakar (Ungu) 65g,12.000,9/26
,Chocolatos Ecer,1.000,10/26
,Chocolatos Pack,15.000,10/26
,Chupa Chups,2000/1,
,Chupa Chups Big Babol,1.000,2/27
,Chupa Chups Sour Belt,2.000,6/27
,Coca Cola Botol Kecil,5.000,9/26
,CocoBit Splash Coco,8.000,
,CocoBit Splash Guava,8.000,1/27
,CocoBit Splash Lychee,8.000,
,CocoBit Splash Mango,8.000,10/26
,Cuka,7.000,
,Daia 1.5 Kg,30.000,
,Dancow Cokelat,5.000,3/27
,Dancow Putih,5.000,3/27
,Energen,3.000,12/26
,Fanta Botol Kecil,5.000,11/26
,Floridina,5.000,7/26
,French Fries 24g,7.000,7/26
,Fresco,2.000,11/26
,Frisian Flag Cokelat Kaleng,16.000,1/27
,Frisian Flag Gold Kaleng,23.000,12/26
,Frisian Flag Putih Kaleng,16.000,1/27
,Fullo Ecer Chocolate,1.000,10/26
,Fullo Ecer Vanilla Milk,1.000,8/26
,Fullo Pack Chocolate,20.000,10/26
,Fullo Pack Vanilla Milk,20.000,8/26
230,Gagang Cukur,7.000,
,Garam 250g,4.000,
,Golda Coffee,5.000,8/26
,Good Day,8.000,11/26
,Good Day Cappuccino Sachet,3.000,5/27
,Goriorio,1.000,
,Happy Dent,1000/2,
,Hock Guan Rose Cream Chocolate,10.000,5/27
,Hock Guan Rose Cream Pisang,10.000,5/27
,Hot Hot Kaki,1000/2,
,Indomie Ayam Geprek,4.000,4/26
,Indomie Goreng,4.000,6/26
,Indomie Kari Ayam,4.000,7/26
,Indomie Rendang,4.000,6/26
,Jagoan Neon,1.000,
,Jasjus Anggur 1 Renteng,5.000,2/27
,Jasjus Jeruk 1 Renteng,5.000,5/27
,Jasjus Mangga 1 Renteng,5.000,5/27
,Jetz 65g,7.000,7/26
,Jetz Croissant Chocolate,4.000,7/26
,Jetz Tortilla,4.000,9/26
,Kapal Api 150g,27.000,12/26
